,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
509,1,0,16,31244.0,6,10,6
510,0,0,1,31305.0,0,1,0
511,0,1,18,31625.0,23,10,3
512,2,0,22,31263.0,3,2,1
513,0,0,10,31253.0,4,4,4
514,0,0,14,31500.0,1,2,0
515,0,2,1,31245.0,4,4,6
516,0,1,7,31617.0,1,9,1
517,0,1,14,31503.0,5,3,2
518,3,1,15,31112.0,2,1,3
519,1,0,17,31049.0,0,2,5
520,1,1,15,31260.0,3,2,0
521,0,0,0,31221.0,1,5,3
522,20,7,10,31219.0,9,1,6
523,5,1,10,31218.0,7,5,0
524,1,3,15,31233.0,11,9,2
525,1,0,16,31609.0,4,4,3
526,1,0,7,31262.0,13,2,4
527,2,0,8,31307.0,2,2,6
528,0,3,18,31018.0,3,3,3
529,0,1,6,31610.0,0,1,5
530,10,13,18,31248.0,16,13,2
531,3,1,12,31307.0,10,6,5
532,0,0,7,31036.0,0,10,3
533,0,0,19,32000.0,0,1,2
534,0,3,11,31033.0,3,2,5
535,0,0,8,31066.0,0,1,5
536,1,3,13,31220.0,0,2,6
537,0,0,7,31633.0,4,2,0
538,0,0,16,31030.0,6,3,6
539,0,0,10,32036.0,0,1,0
540,12,12,11,31610.0,27,20,6
541,0,0,21,31035.0,2,2,3
542,0,0,17,31017.0,6,31,1
543,0,0,8,31000.0,0,4,4
544,24,32,18,31258.0,9,10,4
545,13,5,15,31205.0,6,7,5
546,0,0,13,31611.0,0,4,3
547,0,0,21,31504.0,0,1,2
548,0,1,11,31266.0,2,8,2
549,1,1,0,31104.0,4,3,0
550,1,0,19,31208.0,5,3,6
551,0,0,8,31602.0,8,47,2
552,0,2,2,31225.0,0,3,6
553,0,0,9,31030.0,0,3,0
554,0,0,11,31046.0,1,1,4
555,0,0,9,31701.0,1,1,6
556,0,2,2,31101.0,1,4,4
557,3,2,16,31042.0,7,2,2
558,0,0,8,31611.0,1,18,4
559,0,0,11,31511.0,3,4,3
560,0,0,6,31226.0,1,1,6
561,2,1,13,31206.0,6,2,3
562,2,6,10,31237.0,11,5,3
563,4,7,16,31312.0,3,1,5
564,0,1,14,31608.0,5,5,5
565,1,4,19,31605.0,5,9,6
566,1,1,19,31618.0,12,15,3
567,0,0,17,31022.0,4,12,0
568,7,2,16,31239.0,18,8,6
569,0,0,6,31632.0,2,5,1
570,0,0,9,31209.0,2,1,0
571,7,1,12,31264.0,9,8,1
572,0,0,4,31117.0,0,1,0
573,1,2,22,31248.0,4,1,1
574,1,1,21,31602.0,16,16,4
575,1,0,10,31302.0,0,5,0
576,1,0,15,31107.0,7,9,3
577,0,0,0,31103.0,1,2,1
578,3,0,22,31234.0,14,10,4
579,1,2,13,31002.0,2,3,4
580,0,0,18,31406.0,7,3,1
581,0,0,22,31013.0,1,1,0
582,0,1,6,31509.0,0,5,4
583,4,5,19,31201.0,56,53,3
584,0,0,0,31230.0,0,1,3
585,3,1,10,31229.0,11,1,0
586,4,4,15,31242.0,10,14,2
587,0,0,11,31801.0,0,1,4
588,0,3,7,31239.0,38,12,4
589,0,0,18,31027.0,3,3,3
590,5,4,9,31249.0,1,3,4
591,0,0,1,31312.0,1,1,4
592,26,20,18,31247.0,21,5,2
593,1,4,0,31101.0,10,14,5
594,1,0,14,31006.0,2,2,1
595,1,1,12,31043.0,2,1,6
596,0,0,13,31060.0,1,4,5
597,1,0,7,31015.0,18,10,3
598,0,0,5,31232.0,4,1,2
599,0,0,22,31103.0,18,7,1
600,6,2,22,31243.0,2,1,5
601,2,0,16,31121.0,2,3,5
602,0,0,12,32025.0,0,1,0
603,1,1,7,31257.0,32,15,2
604,0,1,16,31007.0,9,9,3
605,0,0,11,31706.0,0,1,4
606,4,2,23,31605.0,4,8,3
607,1,0,5,31018.0,0,1,1
608,0,0,1,31040.0,0,1,6
609,2,7,21,31600.0,16,8,5
610,11,9,15,31212.0,12,9,5
611,1,0,13,31602.0,4,4,3
612,0,0,10,31069.0,1,2,1
613,0,0,10,31309.0,1,4,4
614,7,2,19,31201.0,44,46,6
615,7,4,2,31200.0,6,13,6
616,0,0,11,31103.0,3,9,4
617,1,0,17,31506.0,20,8,6
618,0,0,7,31069.0,1,1,4
619,3,5,15,31044.0,1,2,6
620,0,0,16,31052.0,5,4,5
621,0,0,22,31271.0,0,1,2
622,0,1,19,31051.0,2,1,0
623,1,1,8,31602.0,9,40,4
624,1,0,18,31234.0,40,35,3
625,0,0,11,31502.0,1,1,3
626,12,6,20,31222.0,7,10,4
627,0,0,6,31212.0,4,6,0
628,0,0,21,31402.0,2,1,2
629,1,0,23,31503.0,3,6,4
630,0,1,14,31601.0,7,3,5
631,0,2,23,31117.0,0,3,1
632,1,8,10,31300.0,2,7,5
633,0,0,12,31509.0,2,1,2
634,0,0,18,31034.0,6,3,1
635,0,1,8,31257.0,8,4,5
636,0,0,19,31629.0,10,8,3
637,0,0,13,31039.0,3,3,1
638,3,0,21,31508.0,3,3,0
639,4,1,17,31015.0,16,20,0
640,1,3,9,31103.0,9,15,6
641,0,10,16,31262.0,6,9,6
642,0,0,15,32008.0,0,2,6
643,0,0,18,31207.0,4,4,6
644,0,1,15,31266.0,20,12,5
645,2,5,10,31254.0,12,4,4
646,0,0,17,31040.0,1,3,4
647,0,2,21,31611.0,13,8,4
648,0,1,7,31300.0,0,2,6
649,0,1,12,31708.0,1,1,5
650,1,2,10,31048.0,0,5,2
651,0,0,17,31067.0,0,1,5
652,4,2,23,31200.0,6,16,6
653,0,0,13,31035.0,0,1,4
654,0,0,19,31208.0,6,7,3
655,0,0,0,31207.0,0,1,3
656,0,0,15,31251.0,9,9,2
657,0,0,6,31310.0,0,1,1
658,0,2,7,31244.0,35,14,4
659,0,0,18,31032.0,2,1,3
660,0,2,9,31242.0,12,8,4
661,0,0,1,31619.0,0,1,1
662,3,11,18,31238.0,16,49,2
663,2,2,14,31015.0,2,3,1
664,0,2,12,31050.0,0,1,6
665,1,0,13,31055.0,0,1,5
666,0,0,7,31022.0,6,4,3
667,0,0,5,31257.0,1,3,2
668,4,4,9,31238.0,26,3,0
669,0,0,0,31620.0,1,3,3
670,0,2,10,31268.0,5,6,6
671,0,1,2,31604.0,4,2,6
672,1,0,16,31016.0,0,6,3
673,0,0,17,31118.0,3,1,6
674,1,0,18,31006.0,7,4,2
675,2,0,0,31109.0,1,2,2
676,0,1,17,31003.0,1,3,1
677,0,0,23,31612.0,6,4,3
678,2,1,21,31611.0,8,5,5
679,3,4,11,31242.0,17,10,0
680,0,1,13,31402.0,2,2,5
681,0,0,6,31069.0,0,1,3
682,0,0,10,31300.0,0,6,4
683,0,0,0,31265.0,1,1,3
684,1,1,19,31226.0,1,2,6
685,2,4,19,31228.0,25,30,2
686,0,0,8,32026.0,0,1,0
687,0,1,9,31033.0,2,1,0
688,0,0,7,31050.0,0,2,4
689,1,4,16,31114.0,6,7,6
690,0,0,19,31040.0,1,2,0
691,9,14,18,31243.0,5,16,3
692,0,0,6,31207.0,0,4,0
693,0,0,23,31508.0,1,1,4
694,8,3,12,31228.0,23,19,3
695,3,1,8,31011.0,16,7,2
696,0,0,18,31027.0,6,4,1
697,3,1,8,31246.0,6,5,5
698,0,0,21,31501.0,1,1,0
699,0,1,7,31040.0,4,3,2
700,0,0,21,31303.0,3,7,3
701,0,1,6,31619.0,0,8,4
702,0,0,9,32025.0,0,1,3
703,0,0,6,31306.0,0,5,0
704,2,0,22,31234.0,10,11,1
705,0,0,17,31049.0,1,3,4
706,0,1,17,31505.0,8,8,3
707,3,2,16,31619.0,21,20,5
708,0,0,1,31264.0,0,1,3
709,0,0,10,31402.0,0,3,3
710,0,0,20,31636.0,1,1,2
711,1,0,10,31307.0,2,4,0
712,3,2,17,31010.0,3,1,5
713,1,0,22,31252.0,0,1,4
714,0,1,13,31028.0,1,1,4
715,5,3,19,31219.0,7,4,3
716,3,1,17,31613.0,39,52,0
717,3,1,15,31260.0,4,5,2
718,1,0,0,31244.0,1,1,1
719,0,0,9,31506.0,7,27,5
720,1,2,11,31224.0,4,7,6
721,0,0,20,31302.0,3,1,5
722,0,0,12,31505.0,4,7,0
723,4,5,23,31200.0,9,26,3
724,1,1,18,31607.0,8,10,5
