,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
556,14,10,17,134,14,9,6
557,3,3,18,116,13,6,1
558,0,1,04,21,1,2,1
559,8,23,22,6,23,36,3
560,6,9,11,24,23,14,2
561,9,6,10,5,54,18,1
562,0,0,06,59,1,1,6
563,17,4,17,71,72,14,3
564,1,1,16,120,5,1,0
565,3,1,05,36,24,4,4
566,1,0,02,131,0,1,0
567,1,0,23,135,8,1,6
568,4,3,23,65,0,7,2
569,54,49,21,113,50,45,5
570,19,14,17,8,86,31,0
571,0,0,05,29,0,1,6
572,20,15,21,21,73,53,1
573,16,8,10,7,34,13,4
574,19,12,01,69,15,10,6
575,6,6,23,25,31,18,4
576,3,1,08,83,30,8,2
577,1,1,06,78,1,2,2
578,4,7,16,93,11,3,2
579,1,5,10,66,3,32,2
580,2,3,16,83,9,6,4
581,23,16,18,31,64,93,3
582,6,7,20,112,6,8,6
583,0,1,02,6,4,4,4
584,11,9,20,5,20,21,5
585,5,3,07,54,63,59,3
586,5,9,11,79,14,39,4
587,12,19,19,50,37,57,4
588,293,286,15,74,117,95,5
589,6,9,20,65,5,9,1
590,2,5,21,136,9,7,3
591,5,1,22,25,9,5,0
592,84,70,16,55,81,82,6
593,7,1,09,3,58,17,2
594,0,0,21,142,6,9,3
595,13,7,01,6,15,10,5
596,19,13,15,5,43,59,2
597,0,0,05,131,15,8,4
598,12,14,13,90,34,33,3
599,33,28,19,103,98,107,3
600,13,12,23,44,25,20,2
601,9,0,18,71,55,22,4
602,3,1,10,119,0,3,5
603,0,1,04,104,1,4,2
604,1,4,20,77,17,16,3
605,1,0,03,137,4,2,5
606,3,5,13,117,2,1,0
607,49,66,18,55,60,74,5
608,9,4,19,30,40,51,0
609,28,21,01,32,12,13,6
610,20,6,18,18,37,32,1
611,2,4,23,116,2,1,4
612,76,44,11,74,108,53,1
613,0,0,08,136,1,2,5
614,9,2,07,102,115,41,1
615,22,16,15,63,29,19,6
616,10,6,10,41,14,72,2
617,16,28,21,45,57,73,3
618,3,0,16,106,7,5,0
619,17,23,14,73,52,43,2
620,0,0,02,136,3,2,5
621,20,17,20,21,35,35,6
622,31,40,17,76,85,56,6
623,1,0,05,67,27,12,0
624,2,3,06,43,137,33,4
625,4,2,20,18,25,23,2
626,11,9,09,46,48,115,3
627,20,40,13,59,41,50,6
628,1,0,03,19,6,2,3
629,7,10,15,92,3,3,4
630,21,33,20,36,72,118,1
631,20,23,18,24,47,94,0
632,11,73,02,54,3,26,6
633,3,4,12,138,9,14,0
634,3,1,08,27,3,8,6
635,1,0,00,99,2,2,1
636,145,130,12,58,80,103,6
637,48,39,20,54,37,57,4
638,1,1,16,30,35,89,1
639,19,35,19,6,123,120,2
640,6,18,09,4,28,98,4
641,66,73,15,98,41,38,3
642,0,0,00,132,2,7,0
643,9,5,07,75,94,45,4
644,37,40,14,114,123,38,4
645,52,48,23,74,28,64,5
646,23,14,19,131,81,50,0
647,41,14,01,139,17,23,6
648,8,10,07,20,2,6,6
649,1,3,18,143,12,6,4
650,7,0,22,133,21,10,3
651,75,57,16,9,64,54,5
652,2,3,10,104,6,3,5
653,19,9,09,91,17,29,6
654,4,3,22,71,32,10,1
655,0,2,08,121,0,9,4
656,12,33,17,64,68,598,1
657,3,10,14,137,21,24,3
658,18,24,23,81,19,40,5
659,16,17,10,84,49,34,3
660,0,0,10,121,0,2,3
661,0,0,16,120,5,1,3
662,6,0,01,78,2,1,0
663,0,0,19,106,9,1,0
664,22,17,09,75,128,172,3
665,0,1,05,48,1,1,5
666,1,5,10,134,7,16,1
667,0,1,05,59,4,11,3
668,2,0,12,118,0,1,6
